name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,cidade
"Fortaleza, CE, Brasil",2024-06-19,30.0,25.0,27.2,34.2,25.0,29.1,22.8,77.6,5.0,100,4.17,rain,0,0,46.1,35.3,128.0,1012.5,64.5,10.5,199.4,17.0,6,10,2024-06-19T05:38:33,2024-06-19T17:32:55,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-20,30.0,24.0,26.9,34.2,24.0,29.1,23.3,81.2,4.8,100,8.33,rain,0,0,50.0,35.3,132.0,1012.0,53.8,10.7,212.1,18.2,7,10,2024-06-20T05:38:46,2024-06-20T17:33:08,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-21,30.0,24.0,27.3,33.3,24.0,29.5,22.6,75.7,0.0,0,0.0,rain,0,0,47.2,35.3,127.2,1012.1,31.9,11.0,212.9,18.3,7,10,2024-06-21T05:38:59,2024-06-21T17:33:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-22,30.2,25.0,27.3,35.4,25.0,29.4,23.6,80.8,2.0,100,4.17,rain,0,0,46.4,24.1,141.8,1012.1,65.9,10.6,196.7,17.0,7,10,2024-06-22T05:39:12,2024-06-22T17:33:34,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-23,29.2,24.0,26.4,33.7,24.0,27.8,23.4,84.2,23.0,100,8.33,rain,0,0,44.3,27.7,141.4,1012.9,66.1,10.5,135.4,11.7,6,10,2024-06-23T05:39:25,2024-06-23T17:33:48,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-24,31.0,24.0,26.9,34.6,24.0,28.4,22.9,80.0,0.8,100,4.17,rain,0,0,43.2,35.3,131.4,1013.2,49.4,11.2,236.7,20.4,8,10,2024-06-24T05:39:37,2024-06-24T17:34:01,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-25,30.0,25.0,27.5,34.1,25.0,30.0,23.1,77.7,0.0,0,0.0,,0,0,40.3,29.5,124.5,1013.2,46.9,11.0,247.5,21.3,8,10,2024-06-25T05:39:50,2024-06-25T17:34:14,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-26,30.1,25.0,27.6,35.2,25.0,30.3,23.2,77.1,0.0,0,0.0,,0,0,38.9,26.3,119.4,1013.4,40.7,11.0,250.7,21.6,9,10,2024-06-26T05:40:02,2024-06-26T17:34:27,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-27,30.0,25.0,27.6,34.2,25.0,29.9,23.2,77.5,0.0,0,0.0,rain,0,0,38.2,31.7,120.1,1012.7,35.7,11.0,239.4,20.5,8,10,2024-06-27T05:40:13,2024-06-27T17:34:40,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-28,30.0,25.0,27.4,34.2,25.0,30.0,23.2,78.1,0.0,0,0.0,rain,0,0,41.4,31.7,116.8,1012.4,44.6,10.9,252.5,21.7,8,10,2024-06-28T05:40:25,2024-06-28T17:34:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-29,31.0,25.0,27.3,34.6,25.0,28.7,22.4,75.9,0.0,0,0.0,,0,0,38.2,27.7,123.4,1013.1,40.6,10.9,251.9,21.8,9,10,2024-06-29T05:40:36,2024-06-29T17:35:07,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-30,30.0,25.0,27.0,32.8,25.0,28.5,22.6,77.6,0.0,0,0.0,rain,0,0,39.2,31.7,122.6,1013.2,46.6,10.9,254.8,22.1,9,10,2024-06-30T05:40:46,2024-06-30T17:35:19,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-01,30.0,25.0,27.5,34.2,25.0,29.8,23.0,77.1,0.0,0,0.0,rain,0,0,41.4,33.5,116.7,1013.9,53.8,11.0,249.3,21.4,8,10,2024-07-01T05:40:57,2024-07-01T17:35:32,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-02,30.0,25.0,27.6,32.8,25.0,29.9,22.7,75.3,0.0,0,0.0,,0,0,46.4,37.1,115.9,1014.0,63.5,10.9,210.2,18.1,7,30,2024-07-02T05:41:07,2024-07-02T17:35:45,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-03,29.0,25.0,26.9,32.8,25.0,28.8,23.3,81.0,4.0,100,4.17,rain,0,0,43.2,25.9,128.9,1012.5,80.2,10.7,150.4,13.0,6,10,2024-07-03T05:41:16,2024-07-03T17:35:57,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-04,30.0,25.0,27.4,33.3,25.0,29.4,21.9,72.6,0.0,0,0.0,rain,0,0,48.6,35.3,118.8,1011.8,76.7,10.9,243.2,21.1,9,10,2024-07-04T05:41:25,2024-07-04T17:36:09,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-05,30.0,25.0,27.2,32.6,25.0,28.5,21.7,72.6,0.0,0,0.0,rain,0,0,40.0,31.7,128.2,1013.8,40.8,10.9,236.8,20.5,9,10,2024-07-05T05:41:34,2024-07-05T17:36:21,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-06,31.0,24.9,27.2,35.5,24.9,29.2,23.1,79.1,0.3,100,4.17,rain,0,0,39.2,22.3,116.5,1014.6,56.3,10.8,228.0,19.6,8,10,2024-07-06T05:41:42,2024-07-06T17:36:33,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-07,30.0,25.0,27.2,34.2,25.0,29.4,23.5,80.6,0.0,0,0.0,rain,0,0,41.8,38.9,132.4,1013.5,73.7,10.9,202.0,17.5,8,10,2024-07-07T05:41:50,2024-07-07T17:36:44,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-08,29.0,24.0,26.9,32.0,24.0,28.1,22.2,76.1,3.0,100,4.17,rain,0,0,44.3,29.5,123.5,1013.0,57.7,10.7,251.1,21.7,8,10,2024-07-08T05:41:57,2024-07-08T17:36:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-09,31.0,24.0,27.2,34.6,24.0,29.0,22.2,75.0,0.0,0,0.0,rain,0,0,41.0,29.5,122.5,1012.8,39.2,10.9,220.4,19.0,8,10,2024-07-09T05:42:04,2024-07-09T17:37:06,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-10,29.0,25.0,27.0,33.6,25.0,29.3,23.5,81.3,3.1,100,8.33,rain,0,0,47.2,31.7,115.0,1013.0,75.6,10.5,189.0,16.3,7,10,2024-07-10T05:42:10,2024-07-10T17:37:17,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBFZ,82398099999",fortaleza
