name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Aquiraz, CE, Brasil",2024-06-27,30.0,25.0,27.6,34.1,25.0,29.9,23.2,77.5,0.0,0,0.0,rain,0,0,35.3,31.7,120.1,1012.7,35.8,10.9,239.8,20.6,8,10,2024-06-27T05:39:50,2024-06-27T17:33:40,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-28,30.0,25.0,27.4,34.1,25.0,30.0,23.2,78.1,0.0,0,0.0,rain,0,0,40.0,31.7,116.8,1012.4,44.3,10.9,250.7,21.7,8,10,2024-06-28T05:40:01,2024-06-28T17:33:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-29,31.0,25.0,27.2,34.6,25.0,28.7,22.4,75.9,0.0,0,0.0,,0,0,35.3,27.7,123.4,1013.1,45.8,10.8,256.9,22.5,9,10,2024-06-29T05:40:12,2024-06-29T17:34:06,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-30,30.0,25.0,27.0,32.7,25.0,28.5,22.6,77.6,0.0,0,0.0,rain,0,0,38.5,31.7,122.6,1013.2,45.7,10.8,257.8,22.5,9,10,2024-06-30T05:40:23,2024-06-30T17:34:19,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-01,30.0,25.0,27.5,34.1,25.0,29.8,23.0,77.1,0.0,0,0.0,rain,0,0,40.0,33.5,116.7,1013.9,53.8,10.9,251.3,21.4,8,10,2024-07-01T05:40:33,2024-07-01T17:34:32,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-02,30.0,25.0,27.6,32.7,25.0,29.9,22.7,75.3,0.0,0,0.0,rain,0,0,45.0,37.1,115.9,1014.0,63.5,10.9,215.6,18.6,8,10,2024-07-02T05:40:43,2024-07-02T17:34:44,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-03,29.0,25.0,26.9,32.7,25.0,28.8,23.3,81.0,4.0,100,4.17,rain,0,0,43.2,25.9,128.9,1012.5,80.8,10.7,140.0,12.2,5,10,2024-07-03T05:40:53,2024-07-03T17:34:57,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-04,30.0,25.0,27.4,33.3,25.0,29.4,21.9,72.6,0.0,0,0.0,rain,0,0,49.7,35.3,118.8,1011.8,77.3,10.8,237.5,20.3,8,10,2024-07-04T05:41:02,2024-07-04T17:35:09,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-05,30.0,25.0,27.2,32.6,25.0,28.5,21.7,72.6,0.0,0,0.0,,0,0,40.0,31.7,128.2,1013.8,41.4,10.8,233.5,20.0,8,10,2024-07-05T05:41:10,2024-07-05T17:35:21,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-06,31.0,24.9,27.2,35.5,24.9,29.2,23.1,79.1,0.3,100,4.17,rain,0,0,38.2,22.3,116.5,1014.6,58.6,10.7,226.3,19.6,8,10,2024-07-06T05:41:18,2024-07-06T17:35:33,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-07,30.0,25.0,27.2,34.1,25.0,29.4,23.5,80.6,0.0,0,0.0,rain,0,0,41.4,38.9,132.4,1013.5,74.0,10.8,209.9,18.3,7,10,2024-07-07T05:41:26,2024-07-07T17:35:44,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-08,29.0,24.0,26.9,32.0,24.0,28.1,22.2,76.1,3.0,100,4.17,rain,0,0,42.1,29.5,123.5,1013.0,58.2,10.7,254.4,22.1,9,10,2024-07-08T05:41:33,2024-07-08T17:35:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-09,31.0,24.0,27.2,34.6,24.0,29.0,22.2,74.9,0.0,0,0.0,rain,0,0,40.3,29.5,122.5,1012.8,39.5,10.8,222.7,19.1,8,10,2024-07-09T05:41:40,2024-07-09T17:36:06,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-10,29.0,25.0,27.0,33.6,25.0,29.3,23.5,81.3,3.1,100,8.33,rain,0,0,44.6,31.7,115.0,1013.0,75.6,10.4,200.5,17.5,7,10,2024-07-10T05:41:46,2024-07-10T17:36:17,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-11,30.0,24.0,27.0,32.6,24.0,28.5,21.7,74.0,2.9,100,4.17,rain,0,0,43.6,31.7,122.0,1014.1,47.1,10.7,263.8,22.9,9,10,2024-07-11T05:41:51,2024-07-11T17:36:27,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-12,30.0,24.0,27.3,34.1,24.0,29.6,22.7,76.4,0.0,0,0.0,rain,0,0,48.2,35.3,125.2,1014.6,54.0,10.6,205.7,17.7,7,10,2024-07-12T05:41:56,2024-07-12T17:36:37,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-13,30.0,24.0,27.2,32.6,24.0,28.6,21.0,69.6,0.0,0,0.0,,0,0,54.7,35.3,131.2,1014.3,50.2,10.6,258.9,22.3,9,10,2024-07-13T05:42:01,2024-07-13T17:36:47,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-14,30.0,23.0,26.7,31.8,23.0,28.1,20.8,70.8,0.0,0,0.0,rain,0,0,55.4,33.5,137.5,1014.7,31.4,10.4,198.1,17.0,7,10,2024-07-14T05:42:05,2024-07-14T17:36:56,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-15,32.0,25.0,27.7,34.9,25.0,29.3,20.7,66.2,0.0,0,0.0,,0,0,50.0,35.3,130.0,1015.4,39.1,10.8,249.3,21.6,8,10,2024-07-15T05:42:08,2024-07-15T17:37:05,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-16,31.0,22.0,26.6,42.0,22.0,27.7,20.1,68.6,0.0,0,0.0,,0,0,44.3,35.3,136.0,1016.4,15.7,10.8,267.7,23.2,9,10,2024-07-16T05:42:10,2024-07-16T17:37:13,0.34,Clear,Clear conditions throughout the day.,clear-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-17,31.0,23.0,26.9,33.0,23.0,27.7,20.5,69.2,0.0,0,0.0,,0,0,50.0,33.5,132.9,1016.1,14.5,10.8,266.4,22.9,9,10,2024-07-17T05:42:12,2024-07-17T17:37:21,0.38,Clear,Clear conditions throughout the day.,clear-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-18,31.0,23.0,27.0,33.7,23.0,28.1,21.0,70.9,0.0,0,0.0,,0,0,44.6,29.5,133.9,1015.6,27.5,10.8,252.4,21.8,9,10,2024-07-18T05:42:14,2024-07-18T17:37:28,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-19,31.0,24.0,27.1,33.0,24.0,28.4,21.7,73.1,0.1,100,4.17,rain,0,0,41.8,27.7,119.3,1015.9,43.0,10.6,260.0,22.3,9,10,2024-07-19T05:42:14,2024-07-19T17:37:35,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-20,31.0,24.0,27.4,33.0,24.0,28.3,20.3,66.5,0.1,100,4.17,rain,0,0,42.5,31.7,129.7,1015.6,40.4,10.8,267.9,23.0,9,10,2024-07-20T05:42:14,2024-07-20T17:37:42,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-21,31.0,23.0,26.9,33.0,23.0,28.0,21.0,70.9,0.0,0,0.0,,0,0,45.0,35.3,127.6,1015.1,35.5,10.8,258.8,22.4,9,10,2024-07-21T05:42:14,2024-07-21T17:37:48,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-22,32.0,24.0,27.5,34.2,24.0,29.0,20.9,68.2,0.0,0,0.0,,0,0,47.2,35.3,124.4,1015.1,22.4,10.8,269.6,23.4,9,30,2024-07-22T05:42:12,2024-07-22T17:37:54,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-07-23,31.0,23.0,27.1,33.0,23.0,28.2,20.5,68.3,0.0,0,0.0,,0,0,48.6,38.9,125.4,1015.8,9.9,10.8,268.1,23.1,9,10,2024-07-23T05:42:10,2024-07-23T17:37:59,0.58,Clear,Clear conditions throughout the day.,clear-day,"SBFZ,82398099999"
